,subj,trial,block,date,stim,stim_order,reponse,rt,age,english,french,native_lang,sex,param_index,segment_time,pitch,stretch
33,5ec454e23d68ea32ee554d12,8,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_978.wav,0,0,1702,38,4,5,Français,f,1,0.1,-92.00024605,0.1229223
34,5ec454e23d68ea32ee554d12,8,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_978.wav,0,0,1702,38,4,5,Français,f,2,0.2,-85.64640387,1.83920091
35,5ec454e23d68ea32ee554d12,8,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_978.wav,0,0,1702,38,4,5,Français,f,3,0.25666667,30.4024855,1.45747353
36,5ec454e23d68ea32ee554d12,9,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_823.wav,0,0,666,38,4,5,Français,f,0,0.0,-89.53533563,0.87621895
37,5ec454e23d68ea32ee554d12,9,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_823.wav,0,0,666,38,4,5,Français,f,1,0.1,14.01752274,0.92757563
38,5ec454e23d68ea32ee554d12,9,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_823.wav,0,0,666,38,4,5,Français,f,2,0.2,33.24657022,1.30685671
39,5ec454e23d68ea32ee554d12,9,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_823.wav,0,0,666,38,4,5,Français,f,3,0.25666667,-78.84260648,1.33840969
40,5ec454e23d68ea32ee554d12,10,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_31.wav,0,0,319,38,4,5,Français,f,0,0.0,-16.52506352,1.57904125
41,5ec454e23d68ea32ee554d12,10,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_31.wav,0,0,319,38,4,5,Français,f,1,0.1,-80.19736258,0.88688051
42,5ec454e23d68ea32ee554d12,10,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_31.wav,0,0,319,38,4,5,Français,f,2,0.2,-47.04996605,0.44579633
43,5ec454e23d68ea32ee554d12,10,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_31.wav,0,0,319,38,4,5,Français,f,3,0.25666667,35.27279848,1.71139476
44,5ec454e23d68ea32ee554d12,11,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_513.wav,0,0,789,38,4,5,Français,f,0,0.0,84.63539274,1.68726635
45,5ec454e23d68ea32ee554d12,11,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_513.wav,0,0,789,38,4,5,Français,f,1,0.1,36.6114333,0.88690679
46,5ec454e23d68ea32ee554d12,11,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_513.wav,0,0,789,38,4,5,Français,f,2,0.2,14.49628471,0.37350839
47,5ec454e23d68ea32ee554d12,11,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_513.wav,0,0,789,38,4,5,Français,f,3,0.25666667,-17.17346171,1.74122924
48,5ec454e23d68ea32ee554d12,12,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_222.wav,0,1,1032,38,4,5,Français,f,0,0.0,-98.35523197,0.13834953
49,5ec454e23d68ea32ee554d12,12,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_222.wav,0,1,1032,38,4,5,Français,f,1,0.1,61.03285987,0.55930016
50,5ec454e23d68ea32ee554d12,12,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_222.wav,0,1,1032,38,4,5,Français,f,2,0.2,-86.01422932,0.40370114
51,5ec454e23d68ea32ee554d12,12,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_222.wav,0,1,1032,38,4,5,Français,f,3,0.25666667,61.26386047,0.21495758
52,5ec454e23d68ea32ee554d12,13,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_98.wav,0,0,798,38,4,5,Français,f,0,0.0,-5.34356544,0.47275823
53,5ec454e23d68ea32ee554d12,13,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_98.wav,0,0,798,38,4,5,Français,f,1,0.1,-51.77157259,0.98771666
54,5ec454e23d68ea32ee554d12,13,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_98.wav,0,0,798,38,4,5,Français,f,2,0.2,16.6615471,0.01400035
55,5ec454e23d68ea32ee554d12,13,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_98.wav,0,0,798,38,4,5,Français,f,3,0.25666667,-37.68560636,0.42827786
56,5ec454e23d68ea32ee554d12,14,0,2024-02-24T09:21:46.494Z,sounds\french\audio/french_800.wav,0,0,502,38,4,5,Français,f,0,0.0,43.61588251,1.33995655
