subj,sex,age,language,english,french,native_lang,date,practice,block,trial,stim,pitch,stretch,response,rt
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,15,sounds\english\audio/english_791.wav,"[[  0.          65.91759783]
 [  0.1        -36.70731143]
 [  0.2         67.54354156]
 [  0.3          2.89249458]
 [  0.32341667 -55.92630603]]","[[0.         1.00744019]
 [0.1        0.67929445]
 [0.2        0.95779159]
 [0.3        1.93585264]
 [0.32341667 0.7587469 ]]",0,0.842
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,16,sounds\english\audio/english_271.wav,"[[  0.          24.41564841]
 [  0.1        -64.42577909]
 [  0.2         32.27025317]
 [  0.3         58.71212772]
 [  0.32341667  46.7300547 ]]","[[0.         0.25667552]
 [0.1        1.20221217]
 [0.2        0.24658485]
 [0.3        1.57844265]
 [0.32341667 1.00400066]]",0,0.63
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,17,sounds\english\audio/english_936.wav,"[[  0.          48.39129511]
 [  0.1        -60.21618585]
 [  0.2         21.92845445]
 [  0.3         72.85258749]
 [  0.32341667  60.11152814]]","[[0.         0.54114143]
 [0.1        1.68728974]
 [0.2        1.39155326]
 [0.3        0.90488419]
 [0.32341667 1.20326098]]",1,0.413
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,18,sounds\english\audio/english_772.wav,"[[  0.         -76.23750274]
 [  0.1         54.42820472]
 [  0.2         26.41325181]
 [  0.3         14.10037165]
 [  0.32341667 -75.83605273]]","[[0.         0.54712598]
 [0.1        1.66698734]
 [0.2        1.761061  ]
 [0.3        1.80899506]
 [0.32341667 1.29882268]]",1,0.2
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,19,sounds\english\audio/english_507.wav,"[[  0.         -61.1842488 ]
 [  0.1        -67.40048172]
 [  0.2         12.41471853]
 [  0.3        -23.82579329]
 [  0.32341667   9.53005369]]","[[0.         1.97653192]
 [0.1        1.52355847]
 [0.2        0.98006415]
 [0.3        0.44372312]
 [0.32341667 0.65281453]]",0,1.462
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,20,sounds\english\audio/english_928.wav,"[[  0.          55.07207497]
 [  0.1         83.71672672]
 [  0.2        -43.28929986]
 [  0.3        -17.1692271 ]
 [  0.32341667 -36.644272  ]]","[[0.         1.22706758]
 [0.1        0.97206042]
 [0.2        0.16969859]
 [0.3        0.90092586]
 [0.32341667 0.43024518]]",0,0.489
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,21,sounds\english\audio/english_893.wav,"[[  0.          17.19699967]
 [  0.1         57.52525856]
 [  0.2         13.30661706]
 [  0.3         33.02687073]
 [  0.32341667 -64.43392463]]","[[0.         0.82427167]
 [0.1        1.49866988]
 [0.2        0.84536161]
 [0.3        0.10168024]
 [0.32341667 0.7117056 ]]",1,0.592
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,22,sounds\english\audio/english_391.wav,"[[  0.          67.64906061]
 [  0.1         79.28195584]
 [  0.2         62.27299227]
 [  0.3        -11.10764883]
 [  0.32341667  57.41338752]]","[[0.         0.41951577]
 [0.1        0.03526883]
 [0.2        0.81828659]
 [0.3        1.2900604 ]
 [0.32341667 1.95373865]]",0,0.649
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,23,sounds\english\audio/english_656.wav,"[[  0.          -4.15957802]
 [  0.1        -31.70283109]
 [  0.2        -35.90055673]
 [  0.3        -27.39202404]
 [  0.32341667  -5.54715508]]","[[0.         0.9962349 ]
 [0.1        1.16669679]
 [0.2        0.85512169]
 [0.3        1.68840921]
 [0.32341667 1.5699395 ]]",1,1.61
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,24,sounds\english\audio/english_181.wav,"[[  0.         -20.89133039]
 [  0.1        -68.36112581]
 [  0.2        -21.7912093 ]
 [  0.3          7.62752627]
 [  0.32341667  53.94324841]]","[[0.         0.39550568]
 [0.1        0.87114476]
 [0.2        0.0214418 ]
 [0.3        1.98777716]
 [0.32341667 0.40706026]]",0,3.474
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,25,sounds\english\audio/english_801.wav,"[[  0.          66.50571345]
 [  0.1        -53.03260979]
 [  0.2         -3.89459646]
 [  0.3          8.32951864]
 [  0.32341667 -87.46806733]]","[[0.         0.19311528]
 [0.1        0.48683601]
 [0.2        1.16293258]
 [0.3        1.55734707]
 [0.32341667 0.63471681]]",0,0.732
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,26,sounds\english\audio/english_334.wav,"[[  0.         -67.45724149]
 [  0.1         -9.29085452]
 [  0.2        -52.27794836]
 [  0.3         97.74689659]
 [  0.32341667  69.13668576]]","[[0.         1.41500124]
 [0.1        1.93519658]
 [0.2        1.67457228]
 [0.3        1.80763723]
 [0.32341667 0.68141016]]",0,0.66
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,27,sounds\english\audio/english_302.wav,"[[  0.         -63.95927305]
 [  0.1        -82.44028643]
 [  0.2        -63.33590257]
 [  0.3        -82.33590521]
 [  0.32341667 -77.43124585]]","[[0.         1.3663617 ]
 [0.1        1.24112643]
 [0.2        1.83999602]
 [0.3        0.89576132]
 [0.32341667 1.51483357]]",0,0.593
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,28,sounds\english\audio/english_569.wav,"[[  0.         -44.4695194 ]
 [  0.1         50.36705327]
 [  0.2        -76.17438636]
 [  0.3         55.47083669]
 [  0.32341667 -10.68913609]]","[[0.         1.56768834]
 [0.1        0.42032873]
 [0.2        0.31133764]
 [0.3        0.91900801]
 [0.32341667 1.26529561]]",0,0.61
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,29,sounds\english\audio/english_705.wav,"[[  0.           3.76426423]
 [  0.1         90.96696755]
 [  0.2        -32.86898574]
 [  0.3        -21.12550784]
 [  0.32341667  39.74077299]]","[[0.         0.9500377 ]
 [0.1        0.74173997]
 [0.2        1.78776637]
 [0.3        0.8178788 ]
 [0.32341667 1.54913024]]",0,3.599
5,m,38,english,5,3,english,2024-02-09 19:18:22.337453,False,1,30,sounds\english\audio/english_373.wav,"[[  0.         -63.66458186]
 [  0.1        -61.42386056]
 [  0.2        -78.74831974]
 [  0.3        -23.23108213]
 [  0.32341667 -77.15694383]]","[[0.         0.61104768]
 [0.1        1.64905001]
 [0.2        1.44355649]
 [0.3        1.63671726]
 [0.32341667 1.96911306]]",0,0.316
