subj,trial,block,date,stim,stim_order,response,rt,age,french,english,language,sex,param_index,segment,pitch,stretch
60eb21bd3807b3a1810ea180,2,0,2024-02-27T11:17:09.361Z,french_812.wav,0,pull,4025,20,5,4,francias,f,7,0.7,-74.04565338,1.25749674
60eb21bd3807b3a1810ea180,2,0,2024-02-27T11:17:09.361Z,french_812.wav,0,pull,4025,20,5,4,francias,f,8,0.8,43.93001564,1.19337031
60eb21bd3807b3a1810ea180,2,0,2024-02-27T11:17:09.361Z,french_812.wav,0,pull,4025,20,5,4,francias,f,9,0.9,-5.48619498,0.21250901
60eb21bd3807b3a1810ea180,2,0,2024-02-27T11:17:09.361Z,french_812.wav,0,pull,4025,20,5,4,francias,f,10,1.0,51.20549239,1.32924457
60eb21bd3807b3a1810ea180,2,0,2024-02-27T11:17:09.361Z,french_812.wav,0,pull,4025,20,5,4,francias,f,11,1.1,48.53876007,0.52399169
60eb21bd3807b3a1810ea180,2,0,2024-02-27T11:17:09.361Z,french_812.wav,0,pull,4025,20,5,4,francias,f,12,1.14141667,-70.42678673,0.252725
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,0,0.0,85.6199955,0.19143732
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,1,0.1,-58.21803023,0.65841603
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,2,0.2,-74.01582093,0.92288135
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,3,0.3,-37.08836973,0.84124379
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,4,0.4,51.76831215,0.79870299
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,5,0.5,8.55965689,1.46106007
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,6,0.6,27.71691358,0.45059655
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,7,0.7,-58.19113091,1.62014764
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,8,0.8,27.05080067,1.4891219
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,9,0.9,27.79413221,1.20637276
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,10,1.0,50.00685101,1.30794963
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,11,1.1,-92.88762057,0.24756041
60eb21bd3807b3a1810ea180,3,0,2024-02-27T11:17:09.361Z,french_351.wav,0,poule,2381,20,5,4,francias,f,12,1.14141667,-51.26204732,0.85622749
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,0,0.0,-38.28425878,1.14466513
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,1,0.1,-19.73299362,1.60046318
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,2,0.2,-1.63971334,0.66760831
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,3,0.3,-13.00341001,1.70247529
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,4,0.4,-18.58635516,0.17241517
60eb21bd3807b3a1810ea180,4,0,2024-02-27T11:17:09.361Z,french_779.wav,0,pull,903,20,5,4,francias,f,5,0.5,-89.98694193,1.76793656
